Bill_Number,Order_Number,Date,Time,Waiter,Section,Table,Seats,Order_Type,Menu_Item,Menu_Category,Sales_Category,Quantity,Price,Gross_Sales,Discount_Name,Discount_Amount,Net_Sales,Modifiers,Modifier_Amount,Tax_1_Name,Tax_1_Amount,Tax_2_Name,Tax_2_Amount,Total_Tax,Tip,Auto_Gratuity,Payment_Method,Is_Void,Is_Return,Notes
1013,1013,2026-03-01,13:50:22,Jake T.,Main Dining,4,2,Dine-In,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Cash,No,No,
1013,1013,2026-03-01,13:50:22,Jake T.,Main Dining,4,2,Dine-In,Bottle — House Red,Wine,Alcohol,1,56.00,56.00,,0.00,56.00,,0.00,GST,2.80,PST,5.60,8.40,0.00,0.00,Cash,No,No,
1013,1013,2026-03-01,13:50:22,Jake T.,Main Dining,4,2,Dine-In,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Cash,No,No,
1013,1013,2026-03-01,13:50:22,Jake T.,Main Dining,4,2,Dine-In,Negroni,Cocktails,Alcohol,1,17.00,17.00,,0.00,17.00,,0.00,GST,0.85,PST,1.70,2.55,25.00,0.00,Cash,No,No,
1014,1014,2026-03-01,11:37:55,Maya C.,Patio,24,2,Dine-In,Avocado Toast,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Visa,No,No,
1014,1014,2026-03-01,11:37:55,Maya C.,Patio,24,2,Dine-In,Coastal Spritz,Cocktails,Alcohol,1,16.00,16.00,,0.00,16.00,,0.00,GST,0.80,PST,1.60,2.40,0.00,0.00,Visa,No,No,
1014,1014,2026-03-01,11:37:55,Maya C.,Patio,24,2,Dine-In,Smoked Salmon Bagel,Brunch,Food,1,21.00,24.50,,0.00,24.50,Add Avocado (+$3.50),3.50,GST,1.23,PST,0.00,1.23,0.00,0.00,Visa,No,No,
1014,1014,2026-03-01,11:37:55,Maya C.,Patio,24,2,Dine-In,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Visa,No,No,
1014,1014,2026-03-01,11:37:55,Maya C.,Patio,24,2,Dine-In,Sparkling Water (750ml),Non-Alcoholic,Non-Alcoholic,1,7.00,7.00,,0.00,7.00,,0.00,GST,0.35,PST,0.00,0.35,15.09,0.00,Visa,No,No,
1015,1015,2026-03-01,10:27:38,Jake T.,Main Dining,14,4,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Visa,No,No,
1015,1015,2026-03-01,10:27:38,Jake T.,Main Dining,14,4,Dine-In,Glass — Chardonnay (BC),Wine,Alcohol,1,16.00,16.00,,0.00,16.00,,0.00,GST,0.80,PST,1.60,2.40,0.00,0.00,Visa,No,No,
1015,1015,2026-03-01,10:27:38,Jake T.,Main Dining,14,4,Dine-In,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Visa,No,No,
1015,1015,2026-03-01,10:27:38,Jake T.,Main Dining,14,4,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Visa,No,No,
1015,1015,2026-03-01,10:27:38,Jake T.,Main Dining,14,4,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,27.50,,0.00,27.50,Add Avocado (+$3.50),3.50,GST,1.38,PST,0.00,1.38,0.00,0.00,Visa,No,No,
1015,1015,2026-03-01,10:27:38,Jake T.,Main Dining,14,4,Dine-In,Paloma,Cocktails,Alcohol,1,16.00,16.00,,0.00,16.00,,0.00,GST,0.80,PST,1.60,2.40,0.00,0.00,Visa,No,No,
1015,1015,2026-03-01,10:27:38,Jake T.,Main Dining,14,4,Dine-In,Tuna Tartare,Appetizers,Food,1,22.00,22.00,,0.00,22.00,,0.00,GST,1.10,PST,0.00,1.10,0.00,0.00,Visa,No,No,
1015,1015,2026-03-01,10:27:38,Jake T.,Main Dining,14,4,Dine-In,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Visa,No,No,
1015,1015,2026-03-01,10:27:38,Jake T.,Main Dining,14,4,Dine-In,Coastal Spritz,Cocktails,Alcohol,1,16.00,16.00,,0.00,16.00,,0.00,GST,0.80,PST,1.60,2.40,35.44,0.00,Visa,No,No,
1016,1016,2026-03-01,12:52:13,Jake T.,Main Dining,3,2,Dine-In,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Visa,No,No,
1016,1016,2026-03-01,12:52:13,Jake T.,Main Dining,3,2,Dine-In,Coastal Spritz,Cocktails,Alcohol,1,16.00,16.00,,0.00,16.00,,0.00,GST,0.80,PST,1.60,2.40,0.00,0.00,Visa,No,No,
1016,1016,2026-03-01,12:52:13,Jake T.,Main Dining,3,2,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Visa,No,No,
1016,1016,2026-03-01,12:52:13,Jake T.,Main Dining,3,2,Dine-In,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Visa,No,No,
1016,1016,2026-03-01,12:52:13,Jake T.,Main Dining,3,2,Dine-In,Glass — Pinot Noir (BC),Wine,Alcohol,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,1.90,2.85,21.00,0.00,Visa,No,No,
1017,1017,2026-03-01,13:48:48,Maya C.,Cash Register,,1,Takeout,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Visa,No,No,
1017,1017,2026-03-01,13:48:48,Maya C.,Cash Register,,1,Takeout,Old Fashioned,Cocktails,Alcohol,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,1.80,2.70,3.02,0.00,Visa,No,No,
1018,1018,2026-03-01,11:21:48,Jake T.,Cash Register,,2,Takeout,Avocado Toast,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Mastercard,No,No,
1018,1018,2026-03-01,11:21:48,Jake T.,Cash Register,,2,Takeout,Cappuccino,Non-Alcoholic,Non-Alcoholic,1,6.50,6.50,,0.00,6.50,,0.00,GST,0.33,PST,0.00,0.33,0.00,0.00,Mastercard,No,No,
1018,1018,2026-03-01,11:21:48,Jake T.,Cash Register,,2,Takeout,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Mastercard,No,No,
1018,1018,2026-03-01,11:21:48,Jake T.,Cash Register,,2,Takeout,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Mastercard,No,No,
1019,1019,2026-03-01,10:20:08,Sarah M.,Patio,23,4,Dine-In,Burrata & Heirloom Tomato,Appetizers,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Mastercard,No,No,
1019,1019,2026-03-01,10:20:08,Sarah M.,Patio,23,4,Dine-In,Avocado Toast,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Mastercard,No,No,
1019,1019,2026-03-01,10:20:08,Sarah M.,Patio,23,4,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Mastercard,No,No,
1019,1019,2026-03-01,10:20:08,Sarah M.,Patio,23,4,Dine-In,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,,0.00,21.00,,0.00,GST,1.05,PST,0.00,1.05,0.00,0.00,Mastercard,No,No,
1019,1019,2026-03-01,10:20:08,Sarah M.,Patio,23,4,Dine-In,Glass — Chardonnay (BC),Wine,Alcohol,1,16.00,16.00,,0.00,16.00,,0.00,GST,0.80,PST,1.60,2.40,0.00,0.00,Mastercard,No,No,
1019,1019,2026-03-01,10:20:08,Sarah M.,Patio,23,4,Dine-In,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Mastercard,No,No,
1019,1019,2026-03-01,10:20:08,Sarah M.,Patio,23,4,Dine-In,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,,0.00,21.00,,0.00,GST,1.05,PST,0.00,1.05,34.23,0.00,Mastercard,No,No,
1020,1020,2026-03-01,12:16:01,Maya C.,Bar,29,1,Bar Tab,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Visa,No,No,
1020,1020,2026-03-01,12:16:01,Maya C.,Bar,29,1,Bar Tab,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Visa,No,No,
1020,1020,2026-03-01,12:16:01,Maya C.,Bar,29,1,Bar Tab,Negroni,Cocktails,Alcohol,1,17.00,17.00,,0.00,17.00,,0.00,GST,0.85,PST,1.70,2.55,12.51,0.00,Visa,No,No,
1021,1021,2026-03-01,12:00:01,Sarah M.,Main Dining,12,2,Dine-In,Avocado Toast,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Interac Debit,No,No,
1021,1021,2026-03-01,12:00:01,Sarah M.,Main Dining,12,2,Dine-In,Glass — Chardonnay (BC),Wine,Alcohol,1,16.00,16.00,,0.00,16.00,,0.00,GST,0.80,PST,1.60,2.40,0.00,0.00,Interac Debit,No,No,
1021,1021,2026-03-01,12:00:01,Sarah M.,Main Dining,12,2,Dine-In,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Interac Debit,No,No,
1021,1021,2026-03-01,12:00:01,Sarah M.,Main Dining,12,2,Dine-In,Kombucha,Non-Alcoholic,Non-Alcoholic,1,7.00,7.00,,0.00,7.00,,0.00,GST,0.35,PST,0.00,0.35,13.31,0.00,Interac Debit,No,No,
1022,1022,2026-03-01,13:19:52,David L.,Main Dining,4,2,Dine-In,Avocado Toast,Brunch,Food,1,19.00,21.00,,0.00,21.00,Sub Caesar Salad (+$2.00),2.00,GST,1.05,PST,0.00,1.05,0.00,0.00,Mastercard,No,No,
1022,1022,2026-03-01,13:19:52,David L.,Main Dining,4,2,Dine-In,Old Fashioned,Cocktails,Alcohol,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,1.80,2.70,0.00,0.00,Mastercard,No,No,
1022,1022,2026-03-01,13:19:52,David L.,Main Dining,4,2,Dine-In,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,,0.00,21.00,,0.00,GST,1.05,PST,0.00,1.05,0.00,0.00,Mastercard,No,No,
1022,1022,2026-03-01,13:19:52,David L.,Main Dining,4,2,Dine-In,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,,0.00,21.00,,0.00,GST,1.05,PST,0.00,1.05,14.91,0.00,Mastercard,No,No,
1023,1023,2026-03-01,13:37:26,Maya C.,Cash Register,,1,Takeout,Avocado Toast,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Amex,No,No,
1023,1023,2026-03-01,13:37:26,Maya C.,Cash Register,,1,Takeout,Sparkling Water (750ml),Non-Alcoholic,Non-Alcoholic,1,7.00,7.00,,0.00,7.00,,0.00,GST,0.35,PST,0.00,0.35,1.70,0.00,Amex,No,No,
1024,1024,2026-03-01,13:07:37,Maya C.,Main Dining,3,2,Dine-In,Tuna Tartare,Appetizers,Food,1,22.00,22.00,,0.00,22.00,,0.00,GST,1.10,PST,0.00,1.10,0.00,0.00,Visa,No,No,
1024,1024,2026-03-01,13:07:37,Maya C.,Main Dining,3,2,Dine-In,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Visa,No,No,
1024,1024,2026-03-01,13:07:37,Maya C.,Main Dining,3,2,Dine-In,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Visa,No,No,
