Receipt_ID,Creation_Date,Created_By,Product_ID,Item_Name,Kitchen_Name,Status,Tax_Exclusive_Price,Tax_Inclusive_Price,Amount,Tax_Percentage,Tax_Amount,Total_Price,Total_Tax_Excl_Price,Category,Category_Type,Seat_Number,Course_Number,PLU,Extra
R000009.01,2026-03-01 13:30:00,James L.,P-8001,Eggs Benedict (Salmon),BENE-SAL,Sent,28.00,29.40,1,5.0,1.40,29.40,28.00,Brunch,Food,4,1,8001,
R000009.01,2026-03-01 13:37:00,James L.,P-8001,Eggs Benedict (Salmon),BENE-SAL,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Brunch,Food,1,1,8001,
R000009.01,2026-03-01 13:38:00,James L.,P-7004,Matcha Latte,MTCH-LAT,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,2,1,7004,
R000010.01,2026-03-01 12:15:00,Mika T.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,1,1,8005,
R000010.01,2026-03-01 12:15:00,Mika T.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,2,1,8002,
R000010.01,2026-03-01 12:18:00,Mika T.,P-1002,Hamachi Crudo,HAM-CRUD,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Appetizers,Food,1,1,1002,
R000010.01,2026-03-01 12:13:00,Mika T.,P-8003,Avocado Toast & Poached Eggs,AVO-TST,Sent,20.00,21.00,1,5.0,1.00,21.00,20.00,Brunch,Food,2,1,8003,
R000010.01,2026-03-01 12:16:00,Mika T.,P-7003,Espresso,ESPRES,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,1,1,7003,
R000011.01,2026-03-01 13:33:00,Dylan R.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,1,1,8005,
R000011.01,2026-03-01 13:25:00,Dylan R.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,2,1,8005,
R000011.01,2026-03-01 13:35:00,Dylan R.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,1,1,8005,
R000011.01,2026-03-01 13:31:00,Dylan R.,P-8004,Wagyu Steak & Eggs,WAG-EGG,Sent,32.00,33.60,1,5.0,1.60,33.60,32.00,Brunch,Food,2,1,8004,
R000012.01,2026-03-01 13:12:00,Dylan R.,P-8003,Avocado Toast & Poached Eggs,AVO-TST,Sent,20.00,21.00,1,5.0,1.00,21.00,20.00,Brunch,Food,1,1,8003,
R000012.01,2026-03-01 13:04:00,Dylan R.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,2,1,7004,
R000012.01,2026-03-01 13:03:00,Dylan R.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,1,1,8005,
R000012.01,2026-03-01 13:03:00,Dylan R.,P-8004,Wagyu Steak & Eggs,WAG-EGG,Sent,32.00,33.60,1,5.0,1.60,33.60,32.00,Brunch,Food,2,1,8004,
R000012.01,2026-03-01 13:12:00,Dylan R.,P-8003,Avocado Toast & Poached Eggs,AVO-TST,Sent,20.00,21.00,1,5.0,1.00,21.00,20.00,Brunch,Food,1,1,8003,
R000013.01,2026-03-01 12:44:00,Priya S.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,1,1,7004,
R000013.01,2026-03-01 12:49:00,Priya S.,P-1001,Tuna Tartare,TUNA-TART,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Appetizers,Food,2,1,1001,
R000013.01,2026-03-01 12:45:00,Priya S.,P-7003,Espresso,ESPRES,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,1,1,7003,
R000013.01,2026-03-01 12:44:00,Priya S.,P-7004,Matcha Latte,MTCH-LAT,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,2,1,7004,
R000014.01,2026-03-01 13:26:00,Dylan R.,P-8001,Eggs Benedict (Salmon),BENE-SAL,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Brunch,Food,1,1,8001,
R000014.01,2026-03-01 13:28:00,Dylan R.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,2,1,8002,
R000014.01,2026-03-01 13:21:00,Dylan R.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,1,1,8002,
R000014.01,2026-03-01 13:30:00,Dylan R.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,2,1,7004,
R000014.01,2026-03-01 13:24:00,Dylan R.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,1,1,7002,
R000015.01,2026-03-01 13:11:00,Priya S.,P-1007,Tempura Spot Prawns,TEMP-PRW,Sent,23.00,24.15,1,5.0,1.15,24.15,23.00,Appetizers,Food,1,1,1007,
R000015.01,2026-03-01 13:10:00,Priya S.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,2,1,8002,
R000015.01,2026-03-01 13:03:00,Priya S.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,1,1,7001,
R000015.01,2026-03-01 13:13:00,Priya S.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,2,1,8002,
R000015.01,2026-03-01 13:11:00,Priya S.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,1,1,7004,
R000015.01,2026-03-01 13:09:00,Priya S.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,2,1,7002,
R000016.01,2026-03-01 13:28:00,Sarah M.,P-1002,Hamachi Crudo,HAM-CRUD,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Appetizers,Food,1,1,1002,
R000016.01,2026-03-01 13:27:00,Sarah M.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,2,1,8005,
R000016.01,2026-03-01 13:22:00,Sarah M.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,1,1,7002,
R000016.01,2026-03-01 13:20:00,Sarah M.,P-1002,Hamachi Crudo,HAM-CRUD,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Appetizers,Food,2,1,1002,
R000016.01,2026-03-01 13:29:00,Sarah M.,P-8003,Avocado Toast & Poached Eggs,AVO-TST,Sent,20.00,21.00,1,5.0,1.00,21.00,20.00,Brunch,Food,1,1,8003,
R000016.01,2026-03-01 13:20:00,Sarah M.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,2,1,7001,
R000016.01,2026-03-01 13:20:00,Sarah M.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,1,1,8005,
R000017.01,2026-03-01 12:21:00,Priya S.,P-8003,Avocado Toast & Poached Eggs,AVO-TST,Sent,20.00,21.00,1,5.0,1.00,21.00,20.00,Brunch,Food,1,1,8003,
R000017.01,2026-03-01 12:23:00,Priya S.,P-8004,Wagyu Steak & Eggs,WAG-EGG,Sent,32.00,33.60,1,5.0,1.60,33.60,32.00,Brunch,Food,2,1,8004,
R000017.01,2026-03-01 12:17:00,Priya S.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,3,1,7002,
R000017.01,2026-03-01 12:19:00,Priya S.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,4,1,8002,
R000017.01,2026-03-01 12:18:00,Priya S.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,1,1,7002,
R000017.01,2026-03-01 12:17:00,Priya S.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,2,1,7004,
R000017.01,2026-03-01 12:20:00,Priya S.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,3,1,8002,
R000017.01,2026-03-01 12:24:00,Priya S.,P-8003,Avocado Toast & Poached Eggs,AVO-TST,Sent,20.00,21.00,1,5.0,1.00,21.00,20.00,Brunch,Food,4,1,8003,
R000017.01,2026-03-01 12:20:00,Priya S.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,1,1,7001,
R000017.01,2026-03-01 12:25:00,Priya S.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,2,1,7002,
R000017.01,2026-03-01 12:21:00,Priya S.,P-1002,Hamachi Crudo,HAM-CRUD,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Appetizers,Food,3,1,1002,
R000017.01,2026-03-01 12:17:00,Priya S.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,4,1,8005,
R000018.01,2026-03-01 13:04:00,Olivia C.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,1,1,8002,
R000018.01,2026-03-01 13:06:00,Olivia C.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,2,1,7001,
R000018.01,2026-03-01 12:57:00,Olivia C.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,3,1,7004,
R000018.01,2026-03-01 13:01:00,Olivia C.,P-8004,Wagyu Steak & Eggs,WAG-EGG,Sent,32.00,33.60,1,5.0,1.60,33.60,32.00,Brunch,Food,4,1,8004,
R000018.01,2026-03-01 13:03:00,Olivia C.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,1,1,7004,
R000018.01,2026-03-01 12:56:00,Olivia C.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,2,1,8005,
R000018.01,2026-03-01 12:59:00,Olivia C.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,3,1,7001,
R000018.01,2026-03-01 13:03:00,Olivia C.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,4,1,8005,
R000018.01,2026-03-01 13:02:00,Olivia C.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,1,1,7001,
R000018.01,2026-03-01 13:02:00,Olivia C.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,2,1,7002,
R000018.01,2026-03-01 12:57:00,Olivia C.,P-7003,Espresso,ESPRES,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,3,1,7003,
R000018.01,2026-03-01 12:57:00,Olivia C.,P-1005,Miso Glazed Eggplant,MISO-EGG,Sent,16.00,16.80,1,5.0,0.80,16.80,16.00,Appetizers,Food,4,1,1005,
R000018.01,2026-03-01 13:05:00,Olivia C.,P-8004,Wagyu Steak & Eggs,WAG-EGG,Sent,32.00,33.60,1,5.0,1.60,33.60,32.00,Brunch,Food,1,1,8004,
R000018.01,2026-03-01 13:06:00,Olivia C.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,2,1,7004,
R000019.01,2026-03-01 12:41:00,Sarah M.,P-1005,Miso Glazed Eggplant,MISO-EGG,Sent,16.00,16.80,1,5.0,0.80,16.80,16.00,Appetizers,Food,1,1,1005,
R000019.01,2026-03-01 12:42:00,Sarah M.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,2,1,8002,
R000019.01,2026-03-01 12:39:00,Sarah M.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,1,1,7002,
R000019.01,2026-03-01 12:44:00,Sarah M.,P-1003,Roasted Beet Salad,BEET-SAL,Sent,17.00,17.85,1,5.0,0.85,17.85,17.00,Appetizers,Food,2,1,1003,
R000019.01,2026-03-01 12:43:00,Sarah M.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,1,1,8002,
R000019.01,2026-03-01 12:42:00,Sarah M.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,2,1,7001,
R000020.01,2026-03-01 13:24:00,Sarah M.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,1,1,8002,
R000020.01,2026-03-01 13:30:00,Sarah M.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,2,1,8002,
R000020.01,2026-03-01 13:20:00,Sarah M.,P-7003,Espresso,ESPRES,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,1,1,7003,
R000020.01,2026-03-01 13:25:00,Sarah M.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,2,1,8005,
R000020.01,2026-03-01 13:29:00,Sarah M.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,1,1,8002,
R000020.01,2026-03-01 13:21:00,Sarah M.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,2,1,7001,
R000020.01,2026-03-01 13:27:00,Sarah M.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,1,1,8005,
R000021.01,2026-03-01 12:17:00,Olivia C.,P-8004,Wagyu Steak & Eggs,WAG-EGG,Sent,32.00,33.60,1,5.0,1.60,33.60,32.00,Brunch,Food,1,1,8004,
R000021.01,2026-03-01 12:21:00,Olivia C.,P-7003,Espresso,ESPRES,Sent,4.50,4.73,1,5.0,0.23,4.73,4.50,Non-Alcoholic,Beverage,2,1,7003,
R000021.01,2026-03-01 12:19:00,Olivia C.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,1,1,8005,
R000021.01,2026-03-01 12:25:00,Olivia C.,P-7003,Espresso,ESPRES,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,2,1,7003,
R000021.01,2026-03-01 12:25:00,Olivia C.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,1,1,7001,
R000022.01,2026-03-01 13:04:00,Olivia C.,P-1002,Hamachi Crudo,HAM-CRUD,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Appetizers,Food,1,1,1002,
R000022.01,2026-03-01 13:09:00,Olivia C.,P-8004,Wagyu Steak & Eggs,WAG-EGG,Sent,32.00,33.60,1,5.0,1.60,33.60,32.00,Brunch,Food,2,1,8004,
R000022.01,2026-03-01 13:05:00,Olivia C.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,1,1,7001,
R000022.01,2026-03-01 13:09:00,Olivia C.,P-1001,Tuna Tartare,TUNA-TART,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Appetizers,Food,2,1,1001,
R000022.01,2026-03-01 12:59:00,Olivia C.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,1,1,8002,
R000022.01,2026-03-01 13:07:00,Olivia C.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,2,1,7002,
R000022.01,2026-03-01 13:02:00,Olivia C.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,1,1,7002,
R000023.01,2026-03-01 13:30:00,Sarah M.,P-1005,Miso Glazed Eggplant,MISO-EGG,Sent,16.00,16.80,1,5.0,0.80,16.80,16.00,Appetizers,Food,1,1,1005,
R000023.01,2026-03-01 13:35:00,Sarah M.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,2,1,8005,
R000023.01,2026-03-01 13:39:00,Sarah M.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,3,1,7001,
R000023.01,2026-03-01 13:31:00,Sarah M.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,4,1,7001,
R000023.01,2026-03-01 13:33:00,Sarah M.,P-8001,Eggs Benedict (Salmon),BENE-SAL,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Brunch,Food,1,1,8001,
