Platform,Order_ID,Order_Date,Order_Status,Dining_Mode,Gross_Sales,Tax,GST,PST,Tip,Commission_Amount,Commission_Rate,Marketing_Fee,Promo_Cost_Restaurant,Promo_Cost_Platform,Service_Fee,Adjustments,Net_Payout,Payout_Date,Item_Count,Customer_Type,Prep_Time_Minutes,Delivery_Time_Minutes,Customer_Rating,POS_Transaction_ID
Uber Eats,UE-00000007,2026-03-01 11:30:00,Completed,Delivery,25.00,3.00,1.25,1.75,2.00,-7.50,0.30,-3.00,-0.00,1.00,-1.03,0.00,17.47,2026-03-04,2,Returning,32.9,49.9,4.5,
DoorDash,DD-00000009,2026-03-01 15:32:00,Completed,Delivery,34.00,4.08,1.70,2.38,4.00,-8.50,0.25,-2.00,-0.00,0.00,-0.72,0.00,26.86,2026-03-07,2,Returning,13.7,26.2,5.0,
Uber Eats,UE-00000008,2026-03-01 15:50:00,Completed,Delivery,71.00,8.52,3.55,4.97,5.00,-21.30,0.30,-3.00,-0.00,1.00,-0.69,0.00,55.53,2026-03-07,4,Returning,25.9,31.4,5.0,
Uber Eats,UE-00000009,2026-03-02 18:35:00,Completed,Delivery,100.00,12.00,5.00,7.00,0.00,-30.00,0.30,-0.00,-0.00,1.00,-1.10,0.00,81.90,2026-03-07,5,Returning,34.6,45.1,4.5,
Uber Eats,UE-00000010,2026-03-02 13:13:00,Completed,Delivery,55.00,6.60,2.75,3.85,2.00,-16.50,0.30,-0.00,-0.00,0.00,-1.13,0.00,43.97,2026-03-09,2,Returning,26.1,29.1,4.5,
Uber Eats,UE-00000011,2026-03-02 18:58:00,Completed,Delivery,56.00,6.72,2.80,3.92,4.00,-16.80,0.30,-1.50,-3.00,0.00,-0.83,0.00,40.59,2026-03-07,4,Returning,15.3,42.4,4.5,
Uber Eats,UE-00000012,2026-03-02 12:15:00,Canceled,Delivery,49.00,5.88,2.45,3.43,0.00,-14.70,0.30,-1.50,-0.00,0.00,-1.05,0.00,0.00,2026-03-08,3,New,31.8,26.5,,
Uber Eats,UE-00000013,2026-03-02 14:19:00,Completed,Delivery,122.00,14.64,6.10,8.54,4.00,-36.60,0.30,-3.00,-3.00,0.00,-0.83,0.00,93.21,2026-03-06,5,New,31.2,36.9,5.0,
DoorDash,DD-00000010,2026-03-02 18:54:00,Completed,Delivery,62.00,7.44,3.10,4.34,4.00,-15.50,0.25,-0.00,-0.00,0.00,-1.30,0.00,52.64,2026-03-08,3,New,31.4,25.0,,
DoorDash,DD-00000011,2026-03-02 20:45:00,Completed,Delivery,134.00,16.08,6.70,9.38,6.00,-33.50,0.25,-0.00,-3.00,0.00,-1.12,0.00,112.46,2026-03-05,3,Returning,13.3,31.0,4.5,
DoorDash,DD-00000012,2026-03-02 13:31:00,Completed,Delivery,69.00,8.28,3.45,4.83,0.00,-17.25,0.25,-1.50,-0.00,0.00,-1.35,0.00,57.18,2026-03-05,3,New,15.7,28.5,3.5,
DoorDash,DD-00000013,2026-03-02 11:38:00,Completed,Delivery,27.00,3.24,1.35,1.89,0.00,-6.75,0.25,-3.00,-0.00,0.00,-0.65,0.00,19.84,2026-03-07,2,Returning,18.7,45.0,5.0,
Uber Eats,UE-00000014,2026-03-02 12:11:00,Completed,Delivery,29.00,3.48,1.45,2.03,0.00,-8.70,0.30,-0.00,-2.00,0.00,-1.49,0.00,20.29,2026-03-05,2,Returning,15.9,30.5,,
Uber Eats,UE-00000015,2026-03-03 19:33:00,Completed,Delivery,41.00,4.92,2.05,2.87,6.00,-12.30,0.30,-3.00,-2.00,0.00,-0.62,0.00,28.00,2026-03-09,2,Returning,33.7,20.9,4.0,
DoorDash,DD-00000014,2026-03-03 18:07:00,Completed,Delivery,57.00,6.84,2.85,3.99,2.00,-14.25,0.25,-0.00,-5.00,2.00,-1.48,0.00,45.11,2026-03-06,2,Returning,30.0,27.0,5.0,
Uber Eats,UE-00000016,2026-03-03 15:17:00,Completed,Delivery,148.00,17.76,7.40,10.36,2.00,-44.40,0.30,-0.00,-2.00,0.00,-1.24,0.00,118.12,2026-03-09,3,Returning,17.3,22.7,3.5,
Uber Eats,UE-00000017,2026-03-03 20:53:00,Completed,Delivery,122.00,14.64,6.10,8.54,2.00,-36.60,0.30,-0.00,-0.00,0.00,-0.50,0.00,99.54,2026-03-09,5,Returning,23.5,26.3,,
DoorDash,DD-00000015,2026-03-03 18:44:00,Completed,Delivery,107.00,12.84,5.35,7.49,4.00,-26.75,0.25,-1.50,-0.00,0.00,-1.41,0.00,90.18,2026-03-07,4,Returning,29.6,33.9,4.5,
DoorDash,DD-00000016,2026-03-03 12:16:00,Completed,Delivery,139.00,16.68,6.95,9.73,3.00,-34.75,0.25,-3.00,-0.00,0.00,-1.34,0.00,116.59,2026-03-07,4,New,15.3,29.5,3.5,
DoorDash,DD-00000017,2026-03-03 19:24:00,Completed,Delivery,58.00,6.96,2.90,4.06,4.00,-14.50,0.25,-2.00,-5.00,0.00,-1.49,0.00,41.97,2026-03-06,2,New,17.0,33.6,4.0,
DoorDash,DD-00000018,2026-03-03 16:33:00,Completed,Delivery,80.00,9.60,4.00,5.60,3.00,-20.00,0.25,-0.00,-5.00,0.00,-0.83,0.00,63.77,2026-03-06,4,Returning,15.4,32.4,5.0,
Uber Eats,UE-00000018,2026-03-03 15:46:00,Completed,Delivery,59.00,7.08,2.95,4.13,2.00,-17.70,0.30,-1.50,-5.00,2.00,-1.45,0.00,42.43,2026-03-07,2,Returning,28.7,48.9,4.5,
DoorDash,DD-00000019,2026-03-03 15:13:00,Completed,Delivery,66.00,7.92,3.30,4.62,0.00,-16.50,0.25,-2.00,-2.00,2.00,-1.49,0.00,53.93,2026-03-06,4,Returning,19.7,29.9,3.0,
Uber Eats,UE-00000019,2026-03-03 13:58:00,Completed,Delivery,46.00,5.52,2.30,3.22,4.00,-13.80,0.30,-1.50,-5.00,0.00,-1.45,0.00,29.77,2026-03-10,3,Returning,29.0,31.2,4.5,
Uber Eats,UE-00000020,2026-03-03 17:17:00,Completed,Delivery,60.00,7.20,3.00,4.20,3.00,-18.00,0.30,-0.00,-0.00,0.00,-0.65,0.00,48.55,2026-03-07,3,New,31.3,32.6,3.5,
DoorDash,DD-00000020,2026-03-03 14:00:00,Completed,Delivery,70.00,8.40,3.50,4.90,0.00,-17.50,0.25,-1.50,-0.00,0.00,-1.11,0.00,58.29,2026-03-08,3,Returning,18.8,37.7,4.0,
Uber Eats,UE-00000021,2026-03-04 20:14:00,Completed,Delivery,59.00,7.08,2.95,4.13,4.00,-17.70,0.30,-1.50,-0.00,2.00,-1.33,0.00,47.55,2026-03-09,3,Returning,25.1,21.2,4.5,
Uber Eats,UE-00000022,2026-03-04 16:13:00,Completed,Delivery,78.00,9.36,3.90,5.46,5.00,-23.40,0.30,-1.50,-2.00,1.00,-1.42,0.00,60.04,2026-03-10,3,Returning,29.5,34.6,5.0,
Uber Eats,UE-00000023,2026-03-04 18:54:00,Completed,Delivery,59.00,7.08,2.95,4.13,2.00,-17.70,0.30,-0.00,-0.00,2.00,-1.23,0.00,49.15,2026-03-10,3,New,31.2,25.1,4.5,
Uber Eats,UE-00000024,2026-03-04 18:30:00,Completed,Delivery,37.00,4.44,1.85,2.59,0.00,-11.10,0.30,-1.50,-3.00,0.00,-0.90,0.00,24.94,2026-03-07,4,New,16.8,37.0,5.0,
Uber Eats,UE-00000025,2026-03-04 17:11:00,Completed,Delivery,62.00,7.44,3.10,4.34,3.00,-18.60,0.30,-3.00,-3.00,0.00,-0.57,0.00,44.27,2026-03-10,3,Returning,16.0,48.2,4.5,
Uber Eats,UE-00000026,2026-03-04 17:20:00,Completed,Delivery,77.00,9.24,3.85,5.39,0.00,-23.10,0.30,-3.00,-0.00,1.00,-0.87,0.00,60.27,2026-03-09,3,Returning,31.8,35.2,,
Uber Eats,UE-00000027,2026-03-04 17:22:00,Completed,Delivery,65.00,7.80,3.25,4.55,2.00,-19.50,0.30,-1.50,-5.00,1.00,-0.54,0.00,47.26,2026-03-09,3,Returning,26.7,42.9,4.0,
Uber Eats,UE-00000028,2026-03-04 11:48:00,Completed,Delivery,38.00,4.56,1.90,2.66,4.00,-11.40,0.30,-0.00,-0.00,2.00,-1.23,0.00,31.93,2026-03-07,3,Returning,30.6,40.2,,
Uber Eats,UE-00000029,2026-03-04 16:57:00,Completed,Delivery,36.00,4.32,1.80,2.52,0.00,-10.80,0.30,-3.00,-0.00,0.00,-1.27,0.00,25.25,2026-03-07,3,Returning,31.0,21.2,4.5,
DoorDash,DD-00000021,2026-03-04 13:17:00,Completed,Delivery,76.00,9.12,3.80,5.32,3.00,-19.00,0.25,-1.50,-3.00,1.00,-1.04,0.00,61.58,2026-03-08,3,New,19.2,21.1,,
DoorDash,DD-00000022,2026-03-04 17:43:00,Completed,Delivery,63.00,7.56,3.15,4.41,2.00,-15.75,0.25,-3.00,-0.00,0.00,-0.75,0.00,51.06,2026-03-07,3,Returning,32.2,43.5,4.5,
Uber Eats,UE-00000030,2026-03-04 13:41:00,Completed,Delivery,65.00,7.80,3.25,4.55,4.00,-19.50,0.30,-0.00,-5.00,0.00,-1.30,0.00,47.00,2026-03-09,2,New,13.7,24.1,5.0,
Uber Eats,UE-00000031,2026-03-04 16:47:00,Completed,Delivery,79.00,9.48,3.95,5.53,8.00,-23.70,0.30,-2.00,-0.00,2.00,-1.46,0.00,63.32,2026-03-08,5,Returning,27.4,39.3,,
DoorDash,DD-00000023,2026-03-04 18:57:00,Completed,Delivery,118.00,14.16,5.90,8.26,4.00,-29.50,0.25,-0.00,-0.00,1.00,-1.40,0.00,102.26,2026-03-10,4,Returning,30.4,22.5,5.0,
DoorDash,DD-00000024,2026-03-04 13:16:00,Completed,Delivery,23.00,2.76,1.15,1.61,0.00,-5.75,0.25,-0.00,-3.00,0.00,-0.76,0.00,16.25,2026-03-11,2,Returning,20.7,47.5,5.0,
Uber Eats,UE-00000032,2026-03-05 12:21:00,Completed,Delivery,105.00,12.60,5.25,7.35,8.00,-31.50,0.30,-0.00,-0.00,0.00,-0.64,0.00,85.46,2026-03-11,4,Returning,15.5,26.0,5.0,
Uber Eats,UE-00000033,2026-03-05 17:27:00,Completed,Delivery,164.00,19.68,8.20,11.48,2.00,-49.20,0.30,-2.00,-3.00,0.00,-1.04,0.00,128.44,2026-03-09,4,New,23.3,35.2,4.5,
Uber Eats,UE-00000034,2026-03-05 16:05:00,Completed,Delivery,46.00,5.52,2.30,3.22,3.00,-13.80,0.30,-0.00,-0.00,1.00,-1.15,0.00,37.57,2026-03-12,2,Returning,33.5,26.5,,
DoorDash,DD-00000025,2026-03-05 19:01:00,Completed,Delivery,109.00,13.08,5.45,7.63,3.00,-27.25,0.25,-0.00,-5.00,0.00,-1.33,0.00,88.50,2026-03-11,4,Returning,34.8,43.1,3.5,
DoorDash,DD-00000026,2026-03-05 16:20:00,Completed,Delivery,27.00,3.24,1.35,1.89,5.00,-6.75,0.25,-1.50,-3.00,0.00,-0.74,0.00,18.25,2026-03-08,2,Returning,32.9,46.5,5.0,
Uber Eats,UE-00000035,2026-03-05 17:53:00,Completed,Delivery,132.00,15.84,6.60,9.24,2.00,-39.60,0.30,-0.00,-0.00,0.00,-0.99,0.00,107.25,2026-03-09,4,Returning,28.7,37.3,4.0,
Uber Eats,UE-00000036,2026-03-05 14:26:00,Completed,Delivery,31.00,3.72,1.55,2.17,4.00,-9.30,0.30,-2.00,-2.00,0.00,-1.33,0.00,20.09,2026-03-09,2,New,12.5,32.8,,
DoorDash,DD-00000027,2026-03-05 11:36:00,Completed,Delivery,67.00,8.04,3.35,4.69,4.00,-16.75,0.25,-0.00,-5.00,2.00,-0.86,0.00,54.43,2026-03-11,3,Returning,22.7,40.3,4.5,
DoorDash,DD-00000028,2026-03-05 15:26:00,Completed,Delivery,67.00,8.04,3.35,4.69,5.00,-16.75,0.25,-1.50,-5.00,2.00,-0.99,0.00,52.80,2026-03-11,3,Returning,21.2,29.9,4.5,
Uber Eats,UE-00000037,2026-03-05 18:13:00,Completed,Delivery,70.00,8.40,3.50,4.90,2.00,-21.00,0.30,-3.00,-0.00,0.00,-0.64,0.00,53.76,2026-03-12,2,Returning,16.3,33.7,4.5,
Uber Eats,UE-00000038,2026-03-05 13:47:00,Completed,Delivery,86.00,10.32,4.30,6.02,3.00,-25.80,0.30,-0.00,-0.00,2.00,-0.50,0.00,72.02,2026-03-11,3,Returning,12.9,46.5,5.0,
Uber Eats,UE-00000039,2026-03-05 20:28:00,Completed,Delivery,76.00,9.12,3.80,5.32,5.00,-22.80,0.30,-1.50,-0.00,0.00,-0.70,0.00,60.12,2026-03-12,3,New,17.9,19.8,5.0,
Uber Eats,UE-00000040,2026-03-05 11:50:00,Completed,Delivery,104.00,12.48,5.20,7.28,3.00,-31.20,0.30,-2.00,-0.00,1.00,-1.03,0.00,83.25,2026-03-08,4,Returning,28.0,29.4,4.0,
Uber Eats,UE-00000041,2026-03-05 19:18:00,Completed,Delivery,66.00,7.92,3.30,4.62,6.00,-19.80,0.30,-3.00,-3.00,0.00,-1.43,0.00,46.69,2026-03-09,5,Returning,34.0,47.2,5.0,
DoorDash,DD-00000029,2026-03-05 17:33:00,Completed,Delivery,75.00,9.00,3.75,5.25,4.00,-18.75,0.25,-3.00,-0.00,2.00,-0.89,0.00,63.36,2026-03-11,4,New,25.4,21.5,,
Uber Eats,UE-00000042,2026-03-05 18:44:00,Completed,Delivery,129.00,15.48,6.45,9.03,4.00,-38.70,0.30,-2.00,-5.00,0.00,-1.36,0.00,97.42,2026-03-08,5,New,16.4,33.4,4.5,
DoorDash,DD-00000030,2026-03-05 11:34:00,Completed,Delivery,18.00,2.16,0.90,1.26,4.00,-4.50,0.25,-0.00,-2.00,0.00,-1.18,0.00,12.48,2026-03-11,2,New,31.9,44.8,5.0,
Uber Eats,UE-00000043,2026-03-05 13:41:00,Completed,Delivery,14.00,1.68,0.70,0.98,0.00,-4.20,0.30,-0.00,-0.00,2.00,-1.13,0.00,12.35,2026-03-09,2,New,19.0,49.6,5.0,
Uber Eats,UE-00000044,2026-03-05 17:14:00,Completed,Delivery,98.00,11.76,4.90,6.86,2.00,-29.40,0.30,-0.00,-0.00,0.00,-0.69,0.00,79.67,2026-03-11,3,Returning,24.4,48.5,3.5,
Uber Eats,UE-00000045,2026-03-05 20:29:00,Canceled,Delivery,120.00,14.40,6.00,8.40,6.00,-36.00,0.30,-0.00,-0.00,0.00,-0.55,0.00,0.00,2026-03-09,4,New,25.8,41.6,,
Uber Eats,UE-00000046,2026-03-06 18:27:00,Completed,Delivery,34.00,4.08,1.70,2.38,4.00,-10.20,0.30,-3.00,-0.00,2.00,-0.83,0.00,26.05,2026-03-09,2,Returning,31.8,19.6,4.5,
Uber Eats,UE-00000047,2026-03-06 20:51:00,Completed,Delivery,97.00,11.64,4.85,6.79,6.00,-29.10,0.30,-3.00,-0.00,0.00,-1.33,0.00,75.21,2026-03-12,3,Returning,23.7,29.3,4.5,
Uber Eats,UE-00000048,2026-03-06 13:51:00,Completed,Delivery,96.00,11.52,4.80,6.72,0.00,-28.80,0.30,-1.50,-2.00,1.00,-0.79,0.00,75.43,2026-03-11,4,Returning,26.2,49.7,4.0,
Uber Eats,UE-00000049,2026-03-06 17:29:00,Completed,Delivery,85.00,10.20,4.25,5.95,4.00,-25.50,0.30,-2.00,-0.00,0.00,-1.06,0.00,66.64,2026-03-13,4,Returning,34.1,32.0,5.0,
Uber Eats,UE-00000050,2026-03-06 20:10:00,Completed,Delivery,69.00,8.28,3.45,4.83,0.00,-20.70,0.30,-0.00,-0.00,0.00,-1.01,0.00,55.57,2026-03-12,5,New,24.1,42.9,5.0,
DoorDash,DD-00000031,2026-03-06 20:04:00,Completed,Delivery,28.00,3.36,1.40,1.96,4.00,-7.00,0.25,-0.00,-3.00,0.00,-0.53,0.00,20.83,2026-03-11,2,Returning,16.2,46.9,5.0,
Uber Eats,UE-00000051,2026-03-06 16:57:00,Completed,Delivery,68.00,8.16,3.40,4.76,0.00,-20.40,0.30,-3.00,-0.00,2.00,-1.41,0.00,53.35,2026-03-11,3,Returning,19.8,19.9,,
Uber Eats,UE-00000052,2026-03-06 16:20:00,Completed,Delivery,55.00,6.60,2.75,3.85,4.00,-16.50,0.30,-1.50,-0.00,2.00,-1.33,0.00,44.27,2026-03-10,2,Returning,16.5,20.5,3.0,
Uber Eats,UE-00000053,2026-03-06 17:53:00,Completed,Delivery,72.00,8.64,3.60,5.04,8.00,-21.60,0.30,-3.00,-5.00,0.00,-1.40,0.00,49.64,2026-03-09,3,Returning,19.5,28.6,4.0,
Uber Eats,UE-00000054,2026-03-06 16:04:00,Completed,Delivery,89.00,10.68,4.45,6.23,3.00,-26.70,0.30,-0.00,-2.00,0.00,-1.11,0.00,69.87,2026-03-09,4,Returning,13.2,40.5,,
Uber Eats,UE-00000055,2026-03-06 16:57:00,Completed,Delivery,97.00,11.64,4.85,6.79,5.00,-29.10,0.30,-0.00,-0.00,0.00,-1.03,0.00,78.51,2026-03-12,3,Returning,21.0,47.1,,
Uber Eats,UE-00000056,2026-03-06 14:18:00,Completed,Delivery,34.00,4.08,1.70,2.38,6.00,-10.20,0.30,-2.00,-0.00,0.00,-1.15,0.00,24.73,2026-03-11,2,Returning,27.8,20.7,5.0,
DoorDash,DD-00000032,2026-03-06 12:01:00,Completed,Delivery,148.00,17.76,7.40,10.36,0.00,-37.00,0.25,-0.00,-2.00,0.00,-0.95,0.00,125.81,2026-03-10,5,Returning,27.7,21.5,4.5,
Uber Eats,UE-00000057,2026-03-06 19:44:00,Completed,Delivery,57.00,6.84,2.85,3.99,0.00,-17.10,0.30,-0.00,-0.00,0.00,-1.37,0.00,45.37,2026-03-09,5,New,21.7,28.0,4.5,
Uber Eats,UE-00000058,2026-03-06 16:43:00,Completed,Delivery,40.00,4.80,2.00,2.80,5.00,-12.00,0.30,-0.00,-3.00,1.00,-0.70,0.00,30.10,2026-03-10,3,Returning,22.3,36.3,,
Uber Eats,UE-00000059,2026-03-06 19:48:00,Completed,Delivery,48.00,5.76,2.40,3.36,2.00,-14.40,0.30,-2.00,-2.00,0.00,-1.37,0.00,33.99,2026-03-10,3,Returning,33.0,49.6,4.5,
DoorDash,DD-00000033,2026-03-06 16:22:00,Completed,Delivery,116.00,13.92,5.80,8.12,0.00,-29.00,0.25,-1.50,-0.00,0.00,-0.64,0.00,98.78,2026-03-10,3,Returning,24.9,20.0,4.0,
Uber Eats,UE-00000060,2026-03-06 12:26:00,Completed,Delivery,41.00,4.92,2.05,2.87,6.00,-12.30,0.30,-0.00,-2.00,0.00,-0.74,0.00,30.88,2026-03-09,3,Returning,12.7,28.1,4.5,
DoorDash,DD-00000034,2026-03-06 17:51:00,Completed,Delivery,58.00,6.96,2.90,4.06,5.00,-14.50,0.25,-0.00,-3.00,1.00,-1.08,0.00,47.38,2026-03-13,3,Returning,26.4,49.5,5.0,
DoorDash,DD-00000035,2026-03-06 16:41:00,Completed,Delivery,108.00,12.96,5.40,7.56,3.00,-27.00,0.25,-1.50,-0.00,2.00,-0.91,0.00,93.55,2026-03-12,4,New,13.6,46.9,5.0,
DoorDash,DD-00000036,2026-03-06 13:32:00,Completed,Delivery,35.00,4.20,1.75,2.45,2.00,-8.75,0.25,-0.00,-5.00,1.00,-0.80,0.00,25.65,2026-03-13,2,Returning,26.0,30.9,5.0,
Uber Eats,UE-00000061,2026-03-06 16:50:00,Completed,Delivery,53.00,6.36,2.65,3.71,3.00,-15.90,0.30,-3.00,-0.00,0.00,-0.84,0.00,39.62,2026-03-10,2,Returning,15.9,47.0,5.0,
DoorDash,DD-00000037,2026-03-06 15:50:00,Completed,Delivery,149.00,17.88,7.45,10.43,4.00,-37.25,0.25,-3.00,-2.00,0.00,-0.85,0.00,123.78,2026-03-09,5,Returning,12.9,20.5,4.0,
Uber Eats,UE-00000062,2026-03-06 16:37:00,Completed,Delivery,32.00,3.84,1.60,2.24,0.00,-9.60,0.30,-1.50,-3.00,0.00,-0.83,0.00,20.91,2026-03-10,2,Returning,21.7,31.4,,
DoorDash,DD-00000038,2026-03-07 14:36:00,Completed,Delivery,110.00,13.20,5.50,7.70,3.00,-27.50,0.25,-0.00,-0.00,1.00,-1.23,0.00,95.47,2026-03-13,4,Returning,33.1,42.1,4.5,
DoorDash,DD-00000039,2026-03-07 16:00:00,Canceled,Delivery,72.00,8.64,3.60,5.04,4.00,-18.00,0.25,-1.50,-5.00,2.00,-0.68,0.00,0.00,2026-03-12,3,New,33.6,24.0,,
DoorDash,DD-00000040,2026-03-07 19:09:00,Completed,Delivery,22.00,2.64,1.10,1.54,2.00,-5.50,0.25,-0.00,-2.00,0.00,-1.02,0.00,16.12,2026-03-10,3,Returning,33.3,45.9,5.0,
DoorDash,DD-00000041,2026-03-07 20:52:00,Completed,Delivery,25.00,3.00,1.25,1.75,0.00,-6.25,0.25,-0.00,-0.00,2.00,-0.52,0.00,23.23,2026-03-11,2,Returning,23.5,46.7,3.5,
Uber Eats,UE-00000063,2026-03-07 13:27:00,Completed,Delivery,23.00,2.76,1.15,1.61,0.00,-6.90,0.30,-0.00,-3.00,0.00,-1.14,0.00,14.72,2026-03-14,2,New,13.1,23.0,,
DoorDash,DD-00000042,2026-03-07 11:41:00,Completed,Delivery,47.00,5.64,2.35,3.29,5.00,-11.75,0.25,-0.00,-2.00,0.00,-0.98,0.00,37.91,2026-03-14,2,New,25.2,43.3,,
Uber Eats,UE-00000064,2026-03-07 15:46:00,Completed,Delivery,82.00,9.84,4.10,5.74,0.00,-24.60,0.30,-0.00,-0.00,1.00,-0.51,0.00,67.73,2026-03-13,5,New,20.0,46.7,4.0,
Uber Eats,UE-00000065,2026-03-07 17:48:00,Completed,Delivery,74.00,8.88,3.70,5.18,0.00,-22.20,0.30,-3.00,-0.00,0.00,-1.36,0.00,56.32,2026-03-14,4,Returning,25.2,37.9,5.0,
DoorDash,DD-00000043,2026-03-07 13:15:00,Completed,Delivery,74.00,8.88,3.70,5.18,4.00,-18.50,0.25,-1.50,-0.00,1.00,-0.63,0.00,63.25,2026-03-14,4,Returning,12.5,21.4,4.5,
Uber Eats,UE-00000066,2026-03-07 14:58:00,Completed,Delivery,43.00,5.16,2.15,3.01,8.00,-12.90,0.30,-3.00,-0.00,0.00,-0.93,0.00,31.33,2026-03-14,3,Returning,34.9,45.5,,
DoorDash,DD-00000044,2026-03-07 17:17:00,Completed,Delivery,122.00,14.64,6.10,8.54,3.00,-30.50,0.25,-1.50,-3.00,0.00,-1.17,0.00,100.47,2026-03-10,4,New,14.0,44.0,5.0,
Uber Eats,UE-00000067,2026-03-07 15:14:00,Completed,Delivery,75.00,9.00,3.75,5.25,0.00,-22.50,0.30,-0.00,-0.00,0.00,-0.70,0.00,60.80,2026-03-13,3,Returning,19.4,48.8,,
Uber Eats,UE-00000068,2026-03-07 13:22:00,Completed,Delivery,117.00,14.04,5.85,8.19,4.00,-35.10,0.30,-0.00,-3.00,1.00,-1.34,0.00,92.60,2026-03-11,5,Returning,19.8,26.2,4.0,
DoorDash,DD-00000045,2026-03-07 17:03:00,Completed,Delivery,114.00,13.68,5.70,7.98,0.00,-28.50,0.25,-0.00,-0.00,0.00,-0.72,0.00,98.46,2026-03-10,4,New,29.6,18.0,4.5,
Uber Eats,UE-00000069,2026-03-07 18:29:00,Completed,Delivery,87.00,10.44,4.35,6.09,4.00,-26.10,0.30,-0.00,-5.00,0.00,-0.88,0.00,65.46,2026-03-14,2,New,28.9,20.6,4.5,
DoorDash,DD-00000046,2026-03-07 19:48:00,Completed,Delivery,95.00,11.40,4.75,6.65,5.00,-23.75,0.25,-0.00,-0.00,1.00,-1.37,0.00,82.28,2026-03-12,3,Returning,32.5,46.7,4.5,
DoorDash,DD-00000047,2026-03-07 14:59:00,Completed,Delivery,24.00,2.88,1.20,1.68,3.00,-6.00,0.25,-0.00,-0.00,0.00,-1.11,0.00,19.77,2026-03-11,2,New,19.5,37.6,4.5,
DoorDash,DD-00000048,2026-03-07 14:45:00,Completed,Delivery,63.00,7.56,3.15,4.41,0.00,-15.75,0.25,-0.00,-5.00,2.00,-0.52,0.00,51.29,2026-03-14,2,New,20.0,28.8,,
