Platform,Order_ID,Order_Date,Order_Status,Dining_Mode,Gross_Sales,Tax,GST,PST,Tip,Commission_Amount,Commission_Rate,Marketing_Fee,Promo_Cost_Restaurant,Promo_Cost_Platform,Service_Fee,Adjustments,Net_Payout,Payout_Date,Item_Count,Customer_Type,Prep_Time_Minutes,Delivery_Time_Minutes,Customer_Rating,POS_Transaction_ID
Uber Eats,UE-91787264,2026-02-02 18:04:56,Canceled,Delivery,72.00,8.64,3.60,5.04,10.00,0.00,0.30,0.00,0.00,0.00,-1.50,0.00,0.00,2026-02-06,3,Returning,18.1,42.8,4.5,
DoorDash,DD-78717763,2026-02-02 19:07:53,Completed,Delivery,86.00,10.32,4.30,6.02,6.00,-21.50,0.25,0.00,-5.00,2.00,0.00,0.00,61.50,2026-02-07,2,New,21.7,38.3,4.0,
DoorDash,DD-27524310,2026-02-02 19:10:31,Completed,Delivery,41.00,4.92,2.05,2.87,8.00,-10.25,0.25,-1.49,0.00,0.00,-1.50,0.00,27.76,2026-02-05,1,New,9.4,43.9,4.5,
Uber Eats,UE-62588468,2026-02-02 21:20:07,Completed,Delivery,109.00,13.08,5.45,7.63,0.00,-32.70,0.30,-1.49,0.00,0.00,-1.00,0.00,73.81,2026-02-07,3,New,12.2,21.7,4.5,
Uber Eats,UE-99766791,2026-02-03 11:56:30,Canceled,Delivery,48.00,5.76,2.40,3.36,7.00,0.00,0.30,0.00,0.00,0.00,-1.00,0.00,0.00,2026-02-07,1,Returning,8.2,31.6,5.0,
DoorDash,DD-65035701,2026-02-03 11:57:13,Completed,Delivery,114.00,13.68,5.70,7.98,6.00,-28.50,0.25,-0.99,0.00,0.00,0.00,0.00,84.51,2026-02-07,3,Returning,14.8,35.6,5.0,
Uber Eats,UE-16565783,2026-02-03 12:18:02,Completed,Delivery,80.00,9.60,4.00,5.60,3.00,-24.00,0.30,0.00,0.00,0.00,-0.50,0.00,55.50,2026-02-10,2,Returning,14.4,37.4,4.0,
Uber Eats,UE-90434981,2026-02-03 12:19:23,Completed,Delivery,81.00,9.72,4.05,5.67,4.00,-24.30,0.30,-0.99,0.00,0.00,-0.50,0.00,55.21,2026-02-06,3,New,13.7,41.0,5.0,
Uber Eats,UE-26576198,2026-02-03 13:25:16,Completed,Delivery,89.00,10.68,4.45,6.23,10.00,-26.70,0.30,-1.99,0.00,0.00,-1.00,0.00,59.31,2026-02-10,3,Returning,19.0,20.3,4.0,
DoorDash,DD-68307529,2026-02-03 13:43:22,Completed,Delivery,43.00,5.16,2.15,3.01,5.00,-10.75,0.25,0.00,0.00,0.00,-0.50,0.00,31.75,2026-02-10,1,Returning,9.1,25.4,3.5,
DoorDash,DD-75039514,2026-02-03 14:02:07,Completed,Delivery,44.00,5.28,2.20,3.08,5.00,-11.00,0.25,0.00,0.00,0.00,-1.00,0.00,32.00,2026-02-10,2,New,12.4,37.3,5.0,
Uber Eats,UE-22267497,2026-02-03 14:09:00,Completed,Delivery,45.00,5.40,2.25,3.15,0.00,-13.50,0.30,-1.49,0.00,0.00,-0.50,0.00,29.51,2026-02-10,2,Returning,14.9,27.8,4.0,
DoorDash,DD-95841058,2026-02-03 14:33:28,Completed,Delivery,44.00,5.28,2.20,3.08,10.00,-11.00,0.25,-0.99,0.00,0.00,0.00,0.00,32.01,2026-02-07,1,New,15.2,37.5,,
DoorDash,DD-94282661,2026-02-03 16:25:50,Completed,Delivery,51.00,6.12,2.55,3.57,7.00,-12.75,0.25,0.00,0.00,0.00,-1.00,0.00,37.25,2026-02-08,2,Returning,11.1,30.8,4.5,
Uber Eats,UE-88819878,2026-02-03 16:42:26,Completed,Delivery,141.00,16.92,7.05,9.87,3.00,-42.30,0.30,-1.99,-5.00,2.00,-1.00,0.00,92.71,2026-02-08,4,Returning,21.1,28.9,4.0,
Uber Eats,UE-58415548,2026-02-03 17:47:48,Completed,Delivery,100.00,12.00,5.00,7.00,0.00,-30.00,0.30,0.00,0.00,0.00,-1.50,0.00,68.50,2026-02-08,3,Returning,16.7,29.3,4.0,
Uber Eats,UE-90469342,2026-02-03 18:06:17,Completed,Delivery,99.00,11.88,4.95,6.93,8.00,-29.70,0.30,-1.49,0.00,0.00,-0.50,0.00,67.31,2026-02-08,3,Returning,21.8,21.6,4.5,
DoorDash,DD-56100071,2026-02-03 19:30:06,Completed,Delivery,81.00,9.72,4.05,5.67,5.00,-20.25,0.25,0.00,-5.00,3.00,-1.00,0.00,57.75,2026-02-10,3,New,11.8,41.6,4.0,
Uber Eats,UE-48131003,2026-02-03 21:09:27,Completed,Delivery,70.00,8.40,3.50,4.90,4.00,-21.00,0.30,-0.99,0.00,0.00,-0.50,-10.95,36.56,2026-02-08,3,Returning,21.0,43.7,4.5,
Uber Eats,UE-33775603,2026-02-04 11:24:58,Completed,Delivery,119.00,14.28,5.95,8.33,8.00,-35.70,0.30,0.00,-7.00,3.00,-1.50,0.00,77.80,2026-02-11,3,Returning,20.5,36.6,4.5,
DoorDash,DD-77043770,2026-02-04 11:37:31,Completed,Delivery,81.00,9.72,4.05,5.67,5.00,-20.25,0.25,-1.49,0.00,0.00,-0.50,0.00,58.76,2026-02-07,2,Returning,17.8,40.9,5.0,
Uber Eats,UE-36878004,2026-02-04 13:28:15,Completed,Delivery,58.00,6.96,2.90,4.06,4.00,-17.40,0.30,0.00,0.00,0.00,0.00,0.00,40.60,2026-02-08,2,Returning,17.0,32.6,,
Uber Eats,UE-37462550,2026-02-04 13:47:43,Completed,Delivery,127.00,15.24,6.35,8.89,8.00,-38.10,0.30,-0.99,0.00,0.00,-1.50,0.00,86.41,2026-02-09,4,Returning,15.4,36.9,4.0,
Uber Eats,UE-62401028,2026-02-04 14:49:44,Completed,Delivery,97.00,11.64,4.85,6.79,10.00,-29.10,0.30,0.00,-3.00,1.00,-1.00,0.00,64.90,2026-02-07,3,Returning,14.5,32.4,4.5,
Uber Eats,UE-40466927,2026-02-04 15:50:21,Completed,Delivery,43.00,5.16,2.15,3.01,8.00,-12.90,0.30,-1.49,0.00,0.00,-1.00,0.00,27.61,2026-02-07,2,Returning,12.2,45.0,5.0,
Uber Eats,UE-97157198,2026-02-04 17:01:19,Completed,Delivery,45.00,5.40,2.25,3.15,5.00,-13.50,0.30,0.00,0.00,0.00,0.00,0.00,31.50,2026-02-11,2,New,12.6,34.2,4.5,
Uber Eats,UE-30207596,2026-02-04 17:33:38,Completed,Delivery,107.00,12.84,5.35,7.49,7.00,-32.10,0.30,0.00,0.00,0.00,0.00,0.00,74.90,2026-02-09,3,New,9.9,18.9,4.0,
DoorDash,DD-74630162,2026-02-04 19:07:01,Completed,Delivery,57.00,6.84,2.85,3.99,8.00,-14.25,0.25,0.00,0.00,0.00,-1.00,0.00,41.75,2026-02-07,2,Returning,8.3,27.2,4.5,
DoorDash,DD-44877509,2026-02-04 19:14:54,Completed,Delivery,89.00,10.68,4.45,6.23,5.00,-22.25,0.25,0.00,0.00,0.00,-1.00,0.00,65.75,2026-02-07,3,Returning,14.0,39.3,4.0,
Uber Eats,UE-84450239,2026-02-04 19:16:41,Completed,Delivery,67.00,8.04,3.35,4.69,7.00,-20.10,0.30,-1.49,0.00,0.00,-1.00,0.00,44.41,2026-02-11,2,Returning,21.7,19.3,5.0,
Uber Eats,UE-37385667,2026-02-04 19:42:34,Completed,Delivery,84.00,10.08,4.20,5.88,10.00,-25.20,0.30,-0.99,0.00,0.00,0.00,0.00,57.81,2026-02-07,2,Returning,20.2,31.6,3.5,
DoorDash,DD-31737900,2026-02-04 20:30:26,Completed,Delivery,99.00,11.88,4.95,6.93,5.00,-24.75,0.25,0.00,0.00,0.00,0.00,0.00,74.25,2026-02-09,3,Returning,21.3,21.6,4.5,
Uber Eats,UE-77703796,2026-02-04 21:11:09,Completed,Delivery,68.00,8.16,3.40,4.76,4.00,-20.40,0.30,-0.99,0.00,0.00,0.00,0.00,46.61,2026-02-08,3,New,14.8,21.5,4.5,
DoorDash,DD-64268643,2026-02-04 21:46:16,Completed,Delivery,43.00,5.16,2.15,3.01,8.00,-10.75,0.25,0.00,0.00,0.00,-0.50,0.00,31.75,2026-02-09,2,New,18.6,44.4,4.5,
DoorDash,DD-75922840,2026-02-05 12:38:49,Completed,Delivery,76.00,9.12,3.80,5.32,5.00,-19.00,0.25,0.00,0.00,0.00,0.00,0.00,57.00,2026-02-12,3,Returning,12.3,32.1,,
DoorDash,DD-77664769,2026-02-05 12:58:11,Completed,Delivery,59.00,7.08,2.95,4.13,7.00,-14.75,0.25,0.00,0.00,0.00,0.00,0.00,44.25,2026-02-12,2,Returning,10.2,34.3,3.0,
Uber Eats,UE-87710268,2026-02-05 13:41:20,Completed,Delivery,62.00,7.44,3.10,4.34,4.00,-18.60,0.30,0.00,0.00,0.00,-1.50,0.00,41.90,2026-02-09,2,Returning,17.7,21.5,5.0,
DoorDash,DD-80833116,2026-02-05 14:14:27,Completed,Delivery,45.00,5.40,2.25,3.15,6.00,-11.25,0.25,0.00,0.00,0.00,0.00,0.00,33.75,2026-02-09,2,Returning,11.8,27.3,5.0,
Uber Eats,UE-37319692,2026-02-05 14:58:51,Completed,Delivery,66.00,7.92,3.30,4.62,0.00,-19.80,0.30,0.00,0.00,0.00,-0.50,0.00,45.70,2026-02-08,2,Returning,16.2,27.0,4.5,
Uber Eats,UE-13164344,2026-02-05 15:28:26,Completed,Delivery,81.00,9.72,4.05,5.67,4.00,-24.30,0.30,-1.99,0.00,0.00,-0.50,0.00,54.21,2026-02-12,3,New,15.5,33.0,3.5,
DoorDash,DD-40702668,2026-02-05 15:37:07,Completed,Delivery,102.00,12.24,5.10,7.14,3.00,-25.50,0.25,-1.99,0.00,0.00,-0.50,0.00,74.01,2026-02-12,3,Returning,11.7,43.1,4.0,
Uber Eats,UE-65077321,2026-02-05 15:57:25,Completed,Delivery,56.00,6.72,2.80,3.92,7.00,-16.80,0.30,-1.99,0.00,0.00,0.00,0.00,37.21,2026-02-10,2,Returning,16.0,21.0,4.5,
DoorDash,DD-16875458,2026-02-05 16:17:56,Completed,Delivery,44.00,5.28,2.20,3.08,4.00,-11.00,0.25,-0.99,0.00,0.00,0.00,0.00,32.01,2026-02-12,1,Returning,11.7,21.0,5.0,
DoorDash,DD-18439611,2026-02-05 16:39:16,Completed,Delivery,75.00,9.00,3.75,5.25,4.00,-18.75,0.25,0.00,0.00,0.00,0.00,0.00,56.25,2026-02-08,2,Returning,16.5,31.4,3.5,
Uber Eats,UE-88282829,2026-02-05 16:39:49,Completed,Delivery,59.00,7.08,2.95,4.13,8.00,-17.70,0.30,0.00,-3.00,1.00,-1.50,0.00,37.80,2026-02-08,2,Returning,21.0,40.5,5.0,
Uber Eats,UE-42124448,2026-02-05 18:55:23,Completed,Delivery,69.00,8.28,3.45,4.83,6.00,-20.70,0.30,0.00,0.00,0.00,0.00,0.00,48.30,2026-02-10,2,New,8.6,38.6,,
Uber Eats,UE-35265416,2026-02-05 19:23:49,Completed,Delivery,91.00,10.92,4.55,6.37,6.00,-27.30,0.30,-0.99,0.00,0.00,-1.00,0.00,61.71,2026-02-12,2,Returning,11.9,35.2,5.0,
Uber Eats,UE-66279011,2026-02-06 11:28:26,Completed,Delivery,83.00,9.96,4.15,5.81,10.00,-24.90,0.30,-1.49,0.00,0.00,-0.50,0.00,56.11,2026-02-11,3,New,21.2,31.6,5.0,
Uber Eats,UE-81335148,2026-02-06 11:42:42,Completed,Delivery,94.00,11.28,4.70,6.58,10.00,-28.20,0.30,0.00,0.00,0.00,0.00,0.00,65.80,2026-02-11,3,Returning,10.5,18.8,5.0,
DoorDash,DD-93307690,2026-02-06 11:50:11,Completed,Delivery,99.00,11.88,4.95,6.93,4.00,-24.75,0.25,-1.49,0.00,0.00,-0.50,0.00,72.26,2026-02-10,3,Returning,17.9,36.2,5.0,
Uber Eats,UE-38500184,2026-02-06 11:52:48,Completed,Delivery,18.00,2.16,0.90,1.26,10.00,-5.40,0.30,0.00,0.00,0.00,-0.50,0.00,12.10,2026-02-11,1,Returning,13.1,34.6,4.5,
Uber Eats,UE-49639538,2026-02-06 12:10:42,Completed,Delivery,123.00,14.76,6.15,8.61,6.00,-36.90,0.30,0.00,0.00,0.00,-1.50,0.00,84.60,2026-02-09,4,Returning,17.1,19.0,5.0,
DoorDash,DD-75451615,2026-02-06 12:25:52,Completed,Delivery,37.00,4.44,1.85,2.59,0.00,-9.25,0.25,0.00,-7.00,3.00,-1.50,0.00,22.25,2026-02-13,2,Returning,8.7,40.4,4.0,
DoorDash,DD-58606803,2026-02-06 13:17:46,Completed,Delivery,19.00,2.28,0.95,1.33,8.00,-4.75,0.25,0.00,0.00,0.00,0.00,0.00,14.25,2026-02-11,1,New,9.7,32.9,,
DoorDash,DD-73057719,2026-02-06 14:05:36,Completed,Delivery,86.00,10.32,4.30,6.02,7.00,-21.50,0.25,0.00,0.00,0.00,-0.50,0.00,64.00,2026-02-10,2,Returning,11.2,20.0,5.0,
Uber Eats,UE-94682979,2026-02-06 14:59:26,Completed,Delivery,63.00,7.56,3.15,4.41,0.00,-18.90,0.30,0.00,0.00,0.00,-1.50,0.00,42.60,2026-02-11,2,New,13.3,35.7,3.0,
Uber Eats,UE-47201994,2026-02-06 15:01:23,Completed,Delivery,75.00,9.00,3.75,5.25,4.00,-22.50,0.30,-1.99,0.00,0.00,-1.50,0.00,49.01,2026-02-09,2,New,9.7,32.7,5.0,
Uber Eats,UE-19098679,2026-02-06 15:47:09,Canceled,Delivery,75.00,9.00,3.75,5.25,3.00,0.00,0.30,0.00,0.00,0.00,-0.50,0.00,0.00,2026-02-13,3,Returning,21.0,44.5,,
Uber Eats,UE-34727541,2026-02-06 16:02:31,Canceled,Delivery,95.00,11.40,4.75,6.65,0.00,0.00,0.30,-1.99,0.00,0.00,0.00,0.00,0.00,2026-02-11,4,Returning,16.5,36.9,4.0,
Uber Eats,UE-77688691,2026-02-06 16:13:32,Completed,Delivery,18.00,2.16,0.90,1.26,10.00,-5.40,0.30,0.00,0.00,0.00,0.00,0.00,12.60,2026-02-11,1,Returning,14.4,36.2,5.0,
Uber Eats,UE-78759227,2026-02-06 16:18:43,Completed,Delivery,77.00,9.24,3.85,5.39,0.00,-23.10,0.30,0.00,0.00,0.00,-1.50,0.00,52.40,2026-02-13,3,New,19.0,25.6,5.0,
DoorDash,DD-79393021,2026-02-06 16:49:18,Completed,Delivery,44.00,5.28,2.20,3.08,0.00,-11.00,0.25,0.00,-7.00,1.00,-1.00,0.00,26.00,2026-02-10,2,Returning,9.6,25.7,3.0,
DoorDash,DD-38634243,2026-02-06 16:52:24,Completed,Delivery,43.00,5.16,2.15,3.01,0.00,-10.75,0.25,0.00,0.00,0.00,-1.50,0.00,30.75,2026-02-11,2,Returning,12.3,32.4,5.0,
DoorDash,DD-53417914,2026-02-06 17:06:33,Completed,Delivery,64.00,7.68,3.20,4.48,10.00,-16.00,0.25,0.00,0.00,0.00,-1.00,0.00,47.00,2026-02-09,2,New,20.4,34.4,3.5,
DoorDash,DD-28368669,2026-02-06 18:16:36,Completed,Delivery,79.00,9.48,3.95,5.53,7.00,-19.75,0.25,0.00,0.00,0.00,0.00,0.00,59.25,2026-02-09,3,Returning,11.4,19.3,4.5,
Uber Eats,UE-45827586,2026-02-06 18:23:16,Completed,Delivery,62.00,7.44,3.10,4.34,5.00,-18.60,0.30,0.00,0.00,0.00,0.00,0.00,43.40,2026-02-11,3,New,20.2,21.3,4.5,
DoorDash,DD-96897364,2026-02-06 18:25:14,Completed,Delivery,62.00,7.44,3.10,4.34,4.00,-15.50,0.25,-1.99,-5.00,3.00,0.00,0.00,42.51,2026-02-10,2,Returning,19.8,26.2,4.5,
DoorDash,DD-99655311,2026-02-06 19:06:01,Completed,Delivery,61.00,7.32,3.05,4.27,3.00,-15.25,0.25,-1.99,0.00,0.00,0.00,0.00,43.76,2026-02-09,2,New,19.0,39.2,,
Uber Eats,UE-93183088,2026-02-06 19:29:06,Completed,Delivery,89.00,10.68,4.45,6.23,3.00,-26.70,0.30,0.00,0.00,0.00,0.00,0.00,62.30,2026-02-11,3,New,8.2,20.2,5.0,
DoorDash,DD-66189058,2026-02-06 20:43:20,Completed,Delivery,38.00,4.56,1.90,2.66,7.00,-9.50,0.25,0.00,0.00,0.00,-0.50,0.00,28.00,2026-02-13,1,New,18.2,40.5,5.0,
Uber Eats,UE-90087699,2026-02-06 20:46:55,Completed,Delivery,20.00,2.40,1.00,1.40,3.00,-6.00,0.30,-1.99,0.00,0.00,-0.50,0.00,11.51,2026-02-09,1,New,13.4,24.1,4.0,
Uber Eats,UE-86427232,2026-02-06 20:49:26,Completed,Delivery,89.00,10.68,4.45,6.23,10.00,-26.70,0.30,-1.99,0.00,0.00,0.00,0.00,60.31,2026-02-10,2,New,11.8,24.2,4.0,
Uber Eats,UE-96973982,2026-02-07 11:23:48,Completed,Delivery,143.00,17.16,7.15,10.01,10.00,-42.90,0.30,-1.49,0.00,0.00,-1.50,0.00,97.11,2026-02-11,4,Returning,9.8,37.6,5.0,
DoorDash,DD-93947159,2026-02-07 12:43:50,Completed,Delivery,44.00,5.28,2.20,3.08,6.00,-11.00,0.25,0.00,0.00,0.00,0.00,0.00,33.00,2026-02-12,1,New,11.9,32.8,5.0,
Uber Eats,UE-81312397,2026-02-07 12:50:10,Completed,Delivery,111.00,13.32,5.55,7.77,7.00,-33.30,0.30,0.00,0.00,0.00,-0.50,0.00,77.20,2026-02-12,3,Returning,12.1,23.5,5.0,
Uber Eats,UE-65696711,2026-02-07 12:52:24,Completed,Delivery,97.00,11.64,4.85,6.79,4.00,-29.10,0.30,-0.99,-3.00,1.00,-1.00,0.00,63.91,2026-02-11,3,Returning,15.9,34.6,4.5,
DoorDash,DD-46807841,2026-02-07 12:59:45,Completed,Delivery,119.00,14.28,5.95,8.33,4.00,-29.75,0.25,0.00,0.00,0.00,0.00,0.00,89.25,2026-02-12,4,Returning,20.1,39.7,4.0,
Uber Eats,UE-26047123,2026-02-07 13:26:06,Completed,Delivery,99.00,11.88,4.95,6.93,4.00,-29.70,0.30,0.00,-3.00,1.00,-0.50,0.00,66.80,2026-02-12,3,Returning,20.9,19.5,4.5,
Uber Eats,UE-39877944,2026-02-07 14:03:09,Completed,Delivery,61.00,7.32,3.05,4.27,10.00,-18.30,0.30,0.00,0.00,0.00,-0.50,0.00,42.20,2026-02-10,2,New,10.6,31.7,4.0,
DoorDash,DD-49417629,2026-02-07 14:33:17,Completed,Delivery,62.00,7.44,3.10,4.34,5.00,-15.50,0.25,0.00,0.00,0.00,-0.50,0.00,46.00,2026-02-10,2,Returning,13.4,38.8,,
DoorDash,DD-18716519,2026-02-07 15:00:07,Completed,Delivery,81.00,9.72,4.05,5.67,10.00,-20.25,0.25,-0.99,0.00,0.00,0.00,0.00,59.76,2026-02-14,3,New,15.7,31.2,5.0,
DoorDash,DD-57083481,2026-02-07 15:16:49,Completed,Delivery,101.00,12.12,5.05,7.07,6.00,-25.25,0.25,0.00,-5.00,3.00,0.00,0.00,73.75,2026-02-12,3,New,12.7,22.0,3.5,
DoorDash,DD-17967849,2026-02-07 15:57:07,Completed,Delivery,46.00,5.52,2.30,3.22,3.00,-11.50,0.25,-1.99,0.00,0.00,-1.50,0.00,31.01,2026-02-11,2,Returning,19.0,30.7,3.5,
Uber Eats,UE-34518568,2026-02-07 15:59:04,Completed,Delivery,91.00,10.92,4.55,6.37,5.00,-27.30,0.30,-1.49,0.00,0.00,-0.50,0.00,61.71,2026-02-12,2,Returning,16.4,21.4,4.5,
DoorDash,DD-30770551,2026-02-07 16:34:35,Completed,Delivery,69.00,8.28,3.45,4.83,3.00,-17.25,0.25,0.00,0.00,0.00,0.00,0.00,51.75,2026-02-14,3,Returning,20.1,19.6,5.0,
Uber Eats,UE-32174219,2026-02-07 17:27:51,Completed,Delivery,69.00,8.28,3.45,4.83,6.00,-20.70,0.30,0.00,0.00,0.00,-1.50,0.00,46.80,2026-02-12,2,Returning,14.7,35.2,4.0,
DoorDash,DD-37033573,2026-02-07 17:38:26,Completed,Delivery,110.00,13.20,5.50,7.70,5.00,-27.50,0.25,-0.99,0.00,0.00,0.00,0.00,81.51,2026-02-14,3,Returning,20.6,38.8,4.5,
DoorDash,DD-28081367,2026-02-07 17:42:57,Completed,Delivery,38.00,4.56,1.90,2.66,5.00,-9.50,0.25,0.00,0.00,0.00,0.00,0.00,28.50,2026-02-14,2,New,11.3,21.1,,
Uber Eats,UE-76607644,2026-02-07 18:01:29,Completed,Delivery,39.00,4.68,1.95,2.73,0.00,-11.70,0.30,-1.49,0.00,0.00,-0.50,0.00,25.31,2026-02-11,2,Returning,21.7,20.3,5.0,
Uber Eats,UE-95508377,2026-02-07 18:01:50,Completed,Delivery,93.00,11.16,4.65,6.51,7.00,-27.90,0.30,0.00,0.00,0.00,0.00,0.00,65.10,2026-02-11,3,Returning,8.9,34.9,4.0,
Uber Eats,UE-97510887,2026-02-07 18:36:58,Completed,Delivery,65.00,7.80,3.25,4.55,4.00,-19.50,0.30,-1.49,0.00,0.00,-1.00,0.00,43.01,2026-02-12,2,New,10.6,25.1,5.0,
Uber Eats,UE-50314166,2026-02-07 19:03:39,Completed,Delivery,62.00,7.44,3.10,4.34,6.00,-18.60,0.30,0.00,0.00,0.00,-0.50,0.00,42.90,2026-02-14,2,Returning,14.3,41.2,5.0,
Uber Eats,UE-58125786,2026-02-07 19:17:13,Completed,Delivery,63.00,7.56,3.15,4.41,4.00,-18.90,0.30,0.00,0.00,0.00,0.00,0.00,44.10,2026-02-12,2,Returning,8.2,43.3,5.0,
