Date,Transaction_ID,Event_Type,Location,Team_Member,Item_Name,Item_Variation,Category,Reporting_Category,SKU,GTIN,Quantity,Unit_Price,Gross_Sales,Discounts,Net_Sales,Tax,Modifiers,Modifier_Amount,Notes,Cost
2026-02-01 10:18:26,AAD9C11C7B8A4EB4A6,Payment,Main Dining,Marcus T.,Bottle — House White,Regular,Drinks - Wine,Beverage - Wine,WN-005,,1,55.00,55.00,0.00,55.00,6.60,,0.00,,16.50
2026-02-01 10:18:26,AAD9C11C7B8A4EB4A6,Payment,Main Dining,Marcus T.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,19.00,0.00,19.00,2.28,,0.00,,4.75
2026-02-01 10:18:26,AAD9C11C7B8A4EB4A6,Payment,Main Dining,Marcus T.,Bottle — House White,Regular,Drinks - Wine,Beverage - Wine,WN-005,,1,55.00,55.00,0.00,55.00,6.60,,0.00,,16.50
2026-02-01 10:18:26,AAD9C11C7B8A4EB4A6,Payment,Main Dining,Marcus T.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:19:36,6CF9D4F4E6CF488FB8,Payment,Main Dining,Sarah M.,Steak & Eggs,Regular,Brunch,Food - Brunch,BRN-005,,1,28.00,28.00,-5.60,22.40,2.69,,0.00,,11.20
2026-02-01 10:19:36,6CF9D4F4E6CF488FB8,Payment,Main Dining,Sarah M.,Pacific Mule,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-001,,1,17.00,17.00,-2.55,14.45,1.73,,0.00,,4.25
2026-02-01 10:19:36,6CF9D4F4E6CF488FB8,Payment,Main Dining,Sarah M.,Brioche French Toast,Regular,Brunch,Food - Brunch,BRN-003,,1,20.00,23.50,-11.75,11.75,1.41,Add Avocado (+$3.50),3.50,,5.00
2026-02-01 10:19:36,6CF9D4F4E6CF488FB8,Payment,Main Dining,Sarah M.,Sparkling Water (750ml),Regular,Drinks - Non-Alc,Beverage - Non-Alc,NA-001,,1,8.00,8.00,-8.00,0.00,0.00,,0.00,,1.60
2026-02-01 10:19:36,6CF9D4F4E6CF488FB8,Payment,Main Dining,Sarah M.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,-12.00,12.00,1.44,,0.00,,7.20
2026-02-01 10:19:36,6CF9D4F4E6CF488FB8,Payment,Main Dining,Sarah M.,Glass — Cabernet Sauvignon,Regular,Drinks - Wine,Beverage - Wine,WN-004,,1,20.00,20.00,-3.00,17.00,2.04,,0.00,,6.00
2026-02-01 10:20:15,A803CF4631FA4C359D,Payment,Main Dining,James L.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:20:15,A803CF4631FA4C359D,Payment,Main Dining,James L.,Glass — Pinot Gris (BC),Regular,Drinks - Wine,Beverage - Wine,WN-001,,1,16.00,18.00,0.00,18.00,2.16,Gluten-Free Pasta (+$2.00),2.00,,4.80
2026-02-01 10:20:15,A803CF4631FA4C359D,Payment,Main Dining,James L.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:20:15,A803CF4631FA4C359D,Payment,Main Dining,James L.,Yuzu Spritz,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-003,,1,16.00,16.00,0.00,16.00,1.92,,0.00,,3.20
2026-02-01 10:23:16,946CBA347E0B445FBA,Payment,Main Dining,Leo C.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,22.00,0.00,22.00,2.64,Add Truffle Oil (+$3.00),3.00,,4.75
2026-02-01 10:23:16,946CBA347E0B445FBA,Payment,Main Dining,Leo C.,Yuzu Spritz,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-003,,1,16.00,16.00,0.00,16.00,1.92,Sub Side Salad (+$0.00),0.00,,3.20
2026-02-01 10:23:16,946CBA347E0B445FBA,Payment,Main Dining,Leo C.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:23:16,946CBA347E0B445FBA,Payment,Main Dining,Leo C.,Glass — Pinot Gris (BC),Regular,Drinks - Wine,Beverage - Wine,WN-001,,1,16.00,19.50,0.00,19.50,2.34,Add Avocado (+$3.50),3.50,,4.80
2026-02-01 10:23:16,946CBA347E0B445FBA,Payment,Main Dining,Leo C.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:23:16,946CBA347E0B445FBA,Payment,Main Dining,Leo C.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:23:16,946CBA347E0B445FBA,Payment,Main Dining,Leo C.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:23:16,946CBA347E0B445FBA,Payment,Main Dining,Leo C.,Lager (16oz),Regular,Drinks - Beer,Beverage - Beer,BR-002,,1,9.00,9.00,0.00,9.00,1.08,,0.00,,2.70
2026-02-01 10:25:16,94082F0C6B7F41FF95,Payment,Main Dining,Leo C.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,19.00,0.00,19.00,2.28,,0.00,,4.75
2026-02-01 10:25:16,94082F0C6B7F41FF95,Payment,Main Dining,Leo C.,Glass — Pinot Gris (BC),Regular,Drinks - Wine,Beverage - Wine,WN-001,,1,16.00,16.00,0.00,16.00,1.92,,0.00,,4.80
2026-02-01 10:25:16,94082F0C6B7F41FF95,Payment,Main Dining,Leo C.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:25:16,94082F0C6B7F41FF95,Payment,Main Dining,Leo C.,Espresso,Regular,Drinks - Non-Alc,Beverage - Non-Alc,NA-003,,1,5.00,5.00,0.00,5.00,0.60,,0.00,,0.75
2026-02-01 10:25:16,94082F0C6B7F41FF95,Payment,Main Dining,Leo C.,Steak & Eggs,Regular,Brunch,Food - Brunch,BRN-005,,1,28.00,28.00,0.00,28.00,3.36,,0.00,,11.20
2026-02-01 10:25:16,94082F0C6B7F41FF95,Payment,Main Dining,Leo C.,Fresh Juice,Regular,Drinks - Non-Alc,Beverage - Non-Alc,NA-002,,1,7.00,7.00,0.00,7.00,0.84,,0.00,,1.75
2026-02-01 10:25:16,94082F0C6B7F41FF95,Payment,Main Dining,Leo C.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:25:16,94082F0C6B7F41FF95,Payment,Main Dining,Leo C.,Local Craft IPA (16oz),Regular,Drinks - Beer,Beverage - Beer,BR-001,,1,10.00,10.00,0.00,10.00,1.20,,0.00,,3.00
2026-02-01 10:32:58,6A9DC9F58D37407580,Payment,Main Dining,Leo C.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,21.00,0.00,21.00,2.52,Gluten-Free Pasta (+$2.00),2.00,,4.75
2026-02-01 10:32:58,6A9DC9F58D37407580,Payment,Main Dining,Leo C.,Bottle — House Red,Regular,Drinks - Wine,Beverage - Wine,WN-006,,1,60.00,60.00,0.00,60.00,7.20,Sub Side Salad (+$0.00),0.00,,18.00
2026-02-01 10:32:58,6A9DC9F58D37407580,Payment,Main Dining,Leo C.,Brioche French Toast,Regular,Brunch,Food - Brunch,BRN-003,,1,20.00,21.00,0.00,21.00,2.52,Extra Sauce (+$1.00),1.00,,5.00
2026-02-01 10:33:28,5432276A269B48F3B1,Payment,Main Dining,James L.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:33:28,5432276A269B48F3B1,Payment,Main Dining,James L.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:33:28,5432276A269B48F3B1,Payment,Main Dining,James L.,Steak & Eggs,Regular,Brunch,Food - Brunch,BRN-005,,1,28.00,28.00,0.00,28.00,3.36,,0.00,,11.20
2026-02-01 10:33:28,5432276A269B48F3B1,Payment,Main Dining,James L.,Coastal Negroni,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-002,,1,18.00,20.00,0.00,20.00,2.40,Gluten-Free Pasta (+$2.00),2.00,,4.50
2026-02-01 10:36:43,42F2F47A203C461C9C,Payment,Main Dining,Leo C.,Steak & Eggs,Regular,Brunch,Food - Brunch,BRN-005,,1,28.00,28.00,0.00,28.00,3.36,,0.00,,11.20
2026-02-01 10:36:43,42F2F47A203C461C9C,Payment,Main Dining,Leo C.,Bottle — House White,Regular,Drinks - Wine,Beverage - Wine,WN-005,,1,55.00,59.00,0.00,59.00,7.08,Extra Prawns (+$4.00),4.00,,16.50
2026-02-01 10:36:43,42F2F47A203C461C9C,Payment,Main Dining,Leo C.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,19.00,0.00,19.00,2.28,,0.00,,4.75
2026-02-01 10:36:43,42F2F47A203C461C9C,Payment,Main Dining,Leo C.,Glass — Pinot Gris (BC),Regular,Drinks - Wine,Beverage - Wine,WN-001,,1,16.00,16.00,0.00,16.00,1.92,,0.00,,4.80
2026-02-01 10:36:43,42F2F47A203C461C9C,Payment,Main Dining,Leo C.,Steak & Eggs,Regular,Brunch,Food - Brunch,BRN-005,,1,28.00,31.50,0.00,31.50,3.78,Add Avocado (+$3.50),3.50,,11.20
2026-02-01 10:36:43,42F2F47A203C461C9C,Payment,Main Dining,Leo C.,Fresh Juice,Regular,Drinks - Non-Alc,Beverage - Non-Alc,NA-002,,1,7.00,7.00,0.00,7.00,0.84,,0.00,,1.75
2026-02-01 10:37:30,EA0948C7E61C41E194,Payment,Main Dining,Leo C.,Brioche French Toast,Regular,Brunch,Food - Brunch,BRN-003,,1,20.00,21.00,0.00,21.00,2.52,Extra Sauce (+$1.00),1.00,,5.00
2026-02-01 10:37:30,EA0948C7E61C41E194,Payment,Main Dining,Leo C.,Lager (16oz),Regular,Drinks - Beer,Beverage - Beer,BR-002,,1,9.00,9.00,0.00,9.00,1.08,,0.00,,2.70
2026-02-01 10:37:30,EA0948C7E61C41E194,Payment,Main Dining,Leo C.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:37:30,EA0948C7E61C41E194,Payment,Main Dining,Leo C.,Glass — Pinot Gris (BC),Regular,Drinks - Wine,Beverage - Wine,WN-001,,1,16.00,16.00,0.00,16.00,1.92,,0.00,,4.80
2026-02-01 10:40:17,7B9DBC8F34EB40269D,Payment,Main Dining,Priya K.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,25.00,0.00,25.00,3.00,Add Truffle Oil (+$3.00),3.00,,7.70
2026-02-01 10:40:17,7B9DBC8F34EB40269D,Payment,Main Dining,Priya K.,Coastal Negroni,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-002,,1,18.00,18.00,0.00,18.00,2.16,,0.00,,4.50
2026-02-01 10:40:17,7B9DBC8F34EB40269D,Payment,Main Dining,Priya K.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:40:17,7B9DBC8F34EB40269D,Payment,Main Dining,Priya K.,Yuzu Spritz,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-003,,1,16.00,20.00,0.00,20.00,2.40,Extra Prawns (+$4.00),4.00,,3.20
2026-02-01 10:40:17,7B9DBC8F34EB40269D,Payment,Main Dining,Priya K.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,Sub Side Salad (+$0.00),0.00,,7.70
2026-02-01 10:40:17,7B9DBC8F34EB40269D,Payment,Main Dining,Priya K.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:40:17,7B9DBC8F34EB40269D,Payment,Main Dining,Priya K.,Glass — Pinot Gris (BC),Regular,Drinks - Wine,Beverage - Wine,WN-001,,1,16.00,16.00,0.00,16.00,1.92,,0.00,,4.80
2026-02-01 10:41:49,C6659EC24D6244A599,Payment,Main Dining,Marcus T.,Brioche French Toast,Regular,Brunch,Food - Brunch,BRN-003,,1,20.00,20.00,0.00,20.00,2.40,,0.00,,5.00
2026-02-01 10:41:49,C6659EC24D6244A599,Payment,Main Dining,Marcus T.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:41:49,C6659EC24D6244A599,Payment,Main Dining,Marcus T.,Coastal Negroni,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-002,,1,18.00,19.00,0.00,19.00,2.28,Extra Sauce (+$1.00),1.00,,4.50
2026-02-01 10:41:49,C6659EC24D6244A599,Payment,Main Dining,Marcus T.,Brioche French Toast,Regular,Brunch,Food - Brunch,BRN-003,,1,20.00,23.50,0.00,23.50,2.82,Add Avocado (+$3.50),3.50,,5.00
2026-02-01 10:41:49,C6659EC24D6244A599,Payment,Main Dining,Marcus T.,Espresso,Regular,Drinks - Non-Alc,Beverage - Non-Alc,NA-003,,1,5.00,5.00,0.00,5.00,0.60,,0.00,,0.75
2026-02-01 10:41:54,AC8DFA51FB1047E8A8,Payment,Main Dining,Leo C.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:41:54,AC8DFA51FB1047E8A8,Payment,Main Dining,Leo C.,Bottle — House Red,Regular,Drinks - Wine,Beverage - Wine,WN-006,,1,60.00,62.00,0.00,62.00,7.44,Gluten-Free Pasta (+$2.00),2.00,,18.00
2026-02-01 10:41:54,AC8DFA51FB1047E8A8,Payment,Main Dining,Leo C.,Brioche French Toast,Regular,Brunch,Food - Brunch,BRN-003,,1,20.00,20.00,0.00,20.00,2.40,,0.00,,5.00
2026-02-01 10:41:54,AC8DFA51FB1047E8A8,Payment,Main Dining,Leo C.,Old Fashioned,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-004,,1,19.00,19.00,0.00,19.00,2.28,,0.00,,5.70
2026-02-01 10:41:54,AC8DFA51FB1047E8A8,Payment,Main Dining,Leo C.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:45:15,3D9745AD57994200A4,Payment,Main Dining,James L.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:45:15,3D9745AD57994200A4,Payment,Main Dining,James L.,Glass — Cabernet Sauvignon,Regular,Drinks - Wine,Beverage - Wine,WN-004,,1,20.00,24.00,0.00,24.00,2.88,Extra Prawns (+$4.00),4.00,,6.00
2026-02-01 10:45:15,3D9745AD57994200A4,Payment,Main Dining,James L.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,23.00,0.00,23.00,2.76,Extra Prawns (+$4.00),4.00,,4.75
2026-02-01 10:45:15,3D9745AD57994200A4,Payment,Main Dining,James L.,Espresso,Regular,Drinks - Non-Alc,Beverage - Non-Alc,NA-003,,1,5.00,8.50,0.00,8.50,1.02,Add Avocado (+$3.50),3.50,,0.75
2026-02-01 10:45:15,3D9745AD57994200A4,Payment,Main Dining,James L.,Steak & Eggs,Regular,Brunch,Food - Brunch,BRN-005,,1,28.00,28.00,0.00,28.00,3.36,,0.00,,11.20
2026-02-01 10:45:15,3D9745AD57994200A4,Payment,Main Dining,James L.,Coastal Negroni,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-002,,1,18.00,21.00,0.00,21.00,2.52,Add Truffle Oil (+$3.00),3.00,,4.50
2026-02-01 10:45:15,3D9745AD57994200A4,Payment,Main Dining,James L.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,Sub Side Salad (+$0.00),0.00,,7.20
2026-02-01 10:45:15,3D9745AD57994200A4,Payment,Main Dining,James L.,Lager (16oz),Regular,Drinks - Beer,Beverage - Beer,BR-002,,1,9.00,10.00,0.00,10.00,1.20,Extra Sauce (+$1.00),1.00,,2.70
2026-02-01 10:45:15,3D9745AD57994200A4,Payment,Main Dining,James L.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:45:15,3D9745AD57994200A4,Payment,Main Dining,James L.,Local Craft IPA (16oz),Regular,Drinks - Beer,Beverage - Beer,BR-001,,1,10.00,10.00,0.00,10.00,1.20,,0.00,,3.00
2026-02-01 10:53:07,DEADC03702094B8187,Payment,Main Dining,James L.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:53:07,DEADC03702094B8187,Payment,Main Dining,James L.,Fresh Juice,Regular,Drinks - Non-Alc,Beverage - Non-Alc,NA-002,,1,7.00,7.00,0.00,7.00,0.84,,0.00,,1.75
2026-02-01 10:53:07,DEADC03702094B8187,Payment,Main Dining,James L.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,25.00,0.00,25.00,3.00,Extra Sauce (+$1.00),1.00,,7.20
2026-02-01 10:53:07,DEADC03702094B8187,Payment,Main Dining,James L.,Brioche French Toast,Regular,Brunch,Food - Brunch,BRN-003,,1,20.00,23.50,0.00,23.50,2.82,Add Avocado (+$3.50),3.50,,5.00
2026-02-01 10:53:07,DEADC03702094B8187,Payment,Main Dining,James L.,Glass — Pinot Gris (BC),Regular,Drinks - Wine,Beverage - Wine,WN-001,,1,16.00,16.00,0.00,16.00,1.92,,0.00,,4.80
2026-02-01 10:59:26,BC01D9256CE8485D95,Payment,Main Dining,Sarah M.,Brioche French Toast,Regular,Brunch,Food - Brunch,BRN-003,,1,20.00,20.00,0.00,20.00,2.40,,0.00,,5.00
